# t_s,id,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s
0.010554,1,-0.357655,-0.002060,0.000035,0.001127
0.021150,1,-0.357651,-0.002069,-0.000233,0.000061
0.031715,1,-0.357653,-0.002069,0.000295,-0.000741
0.042267,1,-0.357642,-0.002064,-0.000766,-0.000739
0.052808,1,-0.357634,-0.002055,0.000560,-0.000475
0.063351,1,-0.357611,-0.002054,-0.001031,0.000062
0.073892,1,-0.357596,-0.002048,0.000295,-0.001275
0.084432,1,-0.357585,-0.002035,-0.000233,0.000061
0.094972,1,-0.357583,-0.002051,-0.000232,0.000861
0.105512,1,-0.357583,-0.002036,-0.000766,-0.001538
0.116051,1,-0.357589,-0.002038,0.001623,0.000056
0.126591,1,-0.357571,-0.002036,-0.000234,0.001127
0.137135,1,-0.357577,-0.002044,-0.000495,0.000328
0.147680,1,-0.357580,-0.002038,-0.000763,-0.001005
0.158220,1,-0.357584,-0.002043,0.000036,0.001660
0.168760,1,-0.357595,-0.002046,-0.001027,-0.000204
0.179305,1,-0.357584,-0.002039,-0.001033,-0.001005
0.189850,1,-0.357563,-0.002028,0.000561,-0.001008
0.200395,1,-0.357555,-0.002023,-0.000765,0.000062
0.210940,1,-0.357566,-0.002023,-0.000231,-0.000472
0.221485,1,-0.357586,-0.002013,0.000564,0.000059
0.232031,1,-0.357587,-0.002012,0.000560,-0.001009
0.242576,1,-0.357584,-0.002026,-0.000494,0.002195
0.253121,1,-0.357599,-0.002027,-0.000233,-0.001273
0.263666,1,-0.357620,-0.002013,-0.001026,0.000063
0.274205,1,-0.357622,-0.002024,0.000830,0.000591
0.284757,1,-0.357618,-0.002021,0.000294,-0.001008
0.295306,1,-0.357615,-0.002023,0.000299,0.001126
0.305846,1,-0.357620,-0.002021,-0.000232,-0.000206
0.316385,1,-0.357633,-0.002022,0.000830,0.000591
0.326925,1,-0.357633,-0.002022,-0.000765,-0.000205
0.337466,1,-0.357625,-0.002025,0.000034,0.000593
0.348005,1,-0.357625,-0.002028,-0.001558,0.000597
0.358544,1,-0.357644,-0.002024,-0.000494,0.000062
0.369086,1,-0.357639,-0.002032,-0.000233,0.000860
0.379633,1,-0.357623,-0.002030,0.001091,-0.000210
0.390176,1,-0.357639,-0.002017,0.000035,0.000594
0.400720,1,-0.357632,-0.002025,-0.000764,0.000328
0.411261,1,-0.357645,-0.002017,-0.000496,-0.000472
0.421800,1,-0.357650,-0.002019,0.000297,-0.000474
0.432340,1,-0.357670,-0.002020,-0.000227,0.001395
0.442880,1,-0.357678,-0.002036,-0.000232,0.000594
0.453419,1,-0.357681,-0.002045,0.001357,0.000323
0.463952,1,-0.357650,-0.002039,-0.000766,-0.000205
0.474505,1,-0.357633,-0.002040,0.000029,-0.001274
0.485052,1,-0.357627,-0.002032,0.000828,-0.000209
0.495598,1,-0.357625,-0.002029,-0.000766,0.000328
0.506141,1,-0.357626,-0.002028,-0.001026,0.000330
0.516683,1,-0.357626,-0.002034,0.000298,0.000592
0.527223,1,-0.357620,-0.002032,-0.001030,-0.001271
0.537767,1,-0.357609,-0.002022,0.000294,-0.000475
0.548309,1,-0.357593,-0.002017,-0.000498,0.000595
0.558856,1,-0.357598,-0.002020,0.001092,-0.001010
0.569406,1,-0.357596,-0.002020,0.000828,0.000058
0.579948,1,-0.357612,-0.002014,0.000300,0.000326
0.590489,1,-0.357616,-0.002012,0.001885,-0.001279
0.601029,1,-0.357599,-0.002019,-0.000499,0.000594
0.611571,1,-0.357590,-0.002016,0.000030,-0.000474
0.622111,1,-0.357587,-0.002021,-0.001027,0.000863
0.632651,1,-0.357591,-0.002024,0.001624,0.000856
0.643191,1,-0.357580,-0.002027,-0.000235,-0.001006
0.653731,1,-0.357578,-0.002015,0.000299,0.001126
0.664270,1,-0.357561,-0.002018,0.000294,-0.000741
0.674808,1,-0.357571,-0.002003,-0.000231,-0.001006
0.685347,1,-0.357576,-0.002000,-0.000764,-0.000205
0.695886,1,-0.357589,-0.002002,0.001095,0.000057
0.706425,1,-0.357598,-0.001996,-0.001559,-0.001003
0.716964,1,-0.357600,-0.002003,0.001092,0.000057
0.727508,1,-0.357593,-0.002004,-0.001823,0.001398
0.738048,1,-0.357586,-0.002001,-0.000763,-0.000205
0.748587,1,-0.357591,-0.001987,-0.000501,-0.001539
0.759127,1,-0.357582,-0.001982,0.000296,-0.000741
0.769671,1,-0.357582,-0.001982,0.000300,0.000593
0.780215,1,-0.357584,-0.001971,-0.000233,-0.000473
0.790764,1,-0.357595,-0.001965,-0.000497,-0.000205
0.801307,1,-0.357590,-0.001970,0.000828,0.000858
0.811848,1,-0.357591,-0.001966,0.000564,-0.001008
0.822389,1,-0.357605,-0.001979,0.000569,0.002726
0.832930,1,-0.357628,-0.001990,0.000297,-0.000208
0.843471,1,-0.357597,-0.001979,-0.001032,-0.000471
0.854024,1,-0.357580,-0.001987,-0.000232,0.000327
0.864575,1,-0.357566,-0.001993,0.001094,0.001124
0.875124,1,-0.357568,-0.001991,-0.000233,-0.000206
0.885673,1,-0.357588,-0.002000,-0.000228,0.000595
0.896217,1,-0.357573,-0.002004,-0.000237,-0.001007
0.906757,1,-0.357556,-0.002004,-0.000499,0.000861
0.917298,1,-0.357566,-0.001994,0.000035,-0.000206
0.927838,1,-0.357572,-0.001991,-0.000232,0.000861
0.938377,1,-0.357551,-0.001997,0.000294,-0.000741
0.948916,1,-0.357544,-0.002001,0.000826,-0.000209
0.959458,1,-0.357519,-0.001991,-0.001031,0.000329
0.969999,1,-0.357501,-0.002000,-0.000234,0.000327
0.980539,1,-0.357499,-0.002018,-0.000496,0.001395
0.991080,1,-0.357508,-0.002014,-0.000496,-0.001005
1.001622,1,-0.357533,-0.001991,0.000295,-0.002608
1.012162,1,-0.357532,-0.001983,-0.000763,0.000062
1.022702,1,-0.357548,-0.001986,0.000035,0.000327
1.033242,1,-0.357553,-0.001985,0.000031,0.000060
1.043783,1,-0.357547,-0.001980,0.001357,0.000056
1.054324,1,-0.357530,-0.001986,-0.000498,0.000328
1.064867,1,-0.357522,-0.001996,0.000032,0.000860
1.075409,1,-0.357517,-0.001980,0.000823,-0.001010
1.085948,1,-0.357514,-0.001978,-0.000761,0.000596
1.096488,1,-0.357523,-0.001985,0.000563,-0.000208
1.107028,1,-0.357532,-0.001984,-0.000233,0.000060
1.117566,1,-0.357540,-0.001976,-0.000231,0.000061
1.128105,1,-0.357548,-0.001975,0.001359,0.000590
1.138649,1,-0.357538,-0.001964,-0.000767,-0.001005
1.149195,1,-0.357535,-0.001967,-0.000499,-0.000739
1.159737,1,-0.357548,-0.001965,-0.000766,-0.001272
1.170277,1,-0.357548,-0.001943,-0.001292,-0.000203
1.180816,1,-0.357554,-0.001947,0.000297,0.000059
1.191356,1,-0.357548,-0.001955,-0.000762,0.001395
1.201897,1,-0.357536,-0.001968,0.000033,0.000860
1.212437,1,-0.357535,-0.001964,-0.000765,-0.001538
1.222976,1,-0.357541,-0.001947,-0.000497,-0.000472
1.233515,1,-0.357553,-0.001953,0.001096,0.000591
1.244055,1,-0.357569,-0.001964,0.000035,0.000060
1.254595,1,-0.357562,-0.001974,0.000563,0.000858
1.265137,1,-0.357561,-0.001978,0.000297,0.000592
1.275678,1,-0.357560,-0.001984,0.000032,-0.000207
1.286229,1,-0.357571,-0.001987,-0.000233,-0.000206
1.296784,1,-0.357570,-0.001973,-0.000234,-0.000740
1.307330,1,-0.357554,-0.001965,0.000295,-0.000475
1.317870,1,-0.357546,-0.001964,-0.001295,0.000330
1.328410,1,-0.357534,-0.001971,-0.000501,-0.000739
1.338951,1,-0.357507,-0.001964,0.000823,-0.001010
1.349491,1,-0.357489,-0.001959,-0.000765,0.000595
1.360033,1,-0.357477,-0.001956,-0.000231,-0.000206
1.370574,1,-0.357512,-0.001951,-0.000764,-0.000205
1.381113,1,-0.357517,-0.001948,0.000032,-0.000474
1.391658,1,-0.357531,-0.001951,0.000035,0.001127
1.402202,1,-0.357551,-0.001944,0.000830,-0.000742
1.412742,1,-0.357569,-0.001951,-0.000233,0.000061
1.423282,1,-0.357562,-0.001929,0.000295,-0.001274
1.433822,1,-0.357559,-0.001922,0.000029,-0.000474
1.444364,1,-0.357539,-0.001921,-0.000763,-0.000471
1.454903,1,-0.357566,-0.001915,0.000299,0.000326
1.465445,1,-0.357569,-0.001921,0.000562,0.000325
1.475986,1,-0.357566,-0.001926,-0.000498,0.000328
1.486527,1,-0.357553,-0.001925,-0.000764,-0.000472
1.497066,1,-0.357556,-0.001928,0.000293,0.000058
1.507607,1,-0.357527,-0.001918,-0.000501,-0.000473
1.518147,1,-0.357503,-0.001921,-0.000500,0.000594
1.528687,1,-0.357486,-0.001923,0.000827,-0.000209
1.539226,1,-0.357502,-0.001915,0.000827,-0.000742
1.549766,1,-0.357492,-0.001905,0.000297,-0.001008
1.560314,1,-0.357485,-0.001913,-0.001029,-0.000204
1.570860,1,-0.357486,-0.001897,0.000030,-0.001807
1.581401,1,-0.357481,-0.001882,-0.000500,-0.000739
1.591942,1,-0.357479,-0.001877,0.000296,-0.000208
1.602483,1,-0.357471,-0.001882,-0.001290,0.000864
1.613022,1,-0.357488,-0.001892,-0.000497,0.000061
