# t_s,id,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s
0.010498,1,0.342115,0.240129,0.009531,-0.003520
0.021086,1,0.342100,0.240144,0.004883,-0.006309
0.031631,1,0.342074,0.240153,0.005813,-0.006309
0.042179,1,0.342118,0.240142,0.003954,-0.004450
0.052729,1,0.342122,0.240151,-0.009061,-0.007239
0.063278,1,0.342089,0.240175,0.006742,-0.001661
0.073829,1,0.342059,0.240202,0.003024,-0.003520
0.084388,1,0.342032,0.240219,-0.005343,-0.007239
0.094962,1,0.342034,0.240243,-0.000695,-0.008168
0.105508,1,0.342068,0.240284,0.004883,-0.003520
0.116072,1,0.342097,0.240280,-0.004413,-0.003520
0.126631,1,0.342174,0.240339,-0.001624,-0.010028
0.137192,1,0.342169,0.240371,-0.008132,0.001128
0.147757,1,0.342148,0.240371,-0.003483,-0.007239
0.158318,1,0.342178,0.240382,0.011390,-0.005379
0.168871,1,0.342241,0.240372,0.004883,-0.009098
0.179415,1,0.342152,0.240412,0.006742,-0.010957
0.189959,1,0.342122,0.240420,-0.016498,-0.005379
0.200504,1,0.342124,0.240443,-0.001624,-0.009098
0.211050,1,0.342103,0.240438,-0.001624,-0.005379
0.221593,1,0.342106,0.240439,-0.006272,-0.008168
0.232133,1,0.342165,0.240434,-0.001624,-0.005379
0.242675,1,0.342135,0.240435,-0.008132,-0.003520
0.253216,1,0.342132,0.240445,-0.007202,-0.004450
0.263763,1,0.342122,0.240453,0.000235,-0.006309
0.274310,1,0.342094,0.240469,0.007672,-0.006309
0.284859,1,0.342152,0.240462,-0.001624,-0.008168
0.295411,1,0.342133,0.240453,0.000235,-0.010957
0.305959,1,0.342126,0.240476,0.003954,-0.004450
0.316509,1,0.342125,0.240497,0.003024,-0.007239
0.327058,1,0.342136,0.240570,-0.003483,-0.009098
0.337607,1,0.342145,0.240566,0.008602,-0.010028
0.348157,1,0.342083,0.240576,-0.009061,-0.012816
0.358708,1,0.342084,0.240602,-0.009061,-0.003520
0.369270,1,0.342077,0.240658,0.007672,-0.006309
0.379823,1,0.342057,0.240731,0.002094,-0.011887
0.390365,1,0.342060,0.240770,0.010461,-0.002591
0.400907,1,0.342027,0.240777,0.007672,-0.010028
0.411448,1,0.342083,0.240775,0.008602,-0.007239
0.421987,1,0.342098,0.240770,0.005813,-0.007239
0.432527,1,0.342089,0.240781,-0.002554,-0.005379
0.443067,1,0.342088,0.240793,-0.002554,-0.002591
0.453609,1,0.342036,0.240846,-0.004413,-0.004450
0.464148,1,0.342018,0.240883,0.002094,-0.011887
0.474689,1,0.342038,0.240898,-0.002554,-0.018394
0.485239,1,0.342041,0.240940,0.002094,0.000198
0.495787,1,0.342031,0.240944,0.006742,-0.003520
0.506331,1,0.342071,0.240952,-0.003483,-0.007239
0.516875,1,0.342059,0.240983,-0.002554,-0.013746
0.527419,1,0.342086,0.241030,-0.007202,-0.000731
0.537960,1,0.342093,0.241023,0.003954,-0.005379
0.548501,1,0.342084,0.241074,-0.004413,-0.003520
0.559042,1,0.342126,0.241081,0.008602,0.002058
0.569582,1,0.342175,0.241087,0.003954,-0.005379
0.580123,1,0.342226,0.241105,-0.003483,-0.010028
0.590666,1,0.342221,0.241095,-0.002554,-0.010957
0.601208,1,0.342204,0.241124,-0.002554,-0.010028
0.611750,1,0.342220,0.241133,-0.001624,-0.004450
0.622292,1,0.342206,0.241182,-0.004413,-0.011887
0.632835,1,0.342244,0.241218,-0.000695,-0.010028
0.643377,1,0.342242,0.241221,0.003024,-0.004450
0.653922,1,0.342216,0.241264,-0.006272,-0.007239
0.664475,1,0.342221,0.241277,-0.005343,-0.008168
0.675023,1,0.342240,0.241302,0.002094,-0.003520
0.685572,1,0.342233,0.241388,0.004883,0.000198
0.696123,1,0.342209,0.241435,-0.006272,0.000198
0.706674,1,0.342158,0.241445,0.001165,-0.005379
0.717222,1,0.342144,0.241464,-0.008132,-0.004450
0.727770,1,0.342160,0.241479,0.003954,-0.011887
0.738319,1,0.342153,0.241529,0.000235,-0.011887
0.748869,1,0.342153,0.241535,0.008602,-0.008168
0.759418,1,0.342148,0.241553,0.005813,-0.004450
0.769969,1,0.342193,0.241550,0.003954,-0.008168
0.780517,1,0.342203,0.241556,-0.003483,-0.011887
0.791064,1,0.342220,0.241572,-0.001624,-0.008168
0.801611,1,0.342225,0.241578,-0.001624,-0.003520
0.812161,1,0.342263,0.241597,-0.005343,-0.009098
0.822710,1,0.342269,0.241631,0.003954,-0.010957
0.833255,1,0.342290,0.241630,-0.002554,-0.010957
0.843795,1,0.342288,0.241640,0.000235,-0.012816
0.854335,1,0.342304,0.241666,-0.001624,0.000198
0.864882,1,0.342326,0.241705,-0.000695,-0.003520
0.875430,1,0.342323,0.241707,-0.002554,-0.002591
0.885979,1,0.342240,0.241755,0.001165,-0.004450
0.896541,1,0.342263,0.241836,0.008602,-0.008168
0.907090,1,0.342285,0.241830,-0.004413,-0.005379
0.917638,1,0.342252,0.241863,0.004883,-0.004450
0.928187,1,0.342229,0.241915,-0.000695,-0.012816
0.938735,1,0.342184,0.241950,-0.005343,-0.002591
0.949288,1,0.342210,0.242002,0.007672,-0.005379
0.959835,1,0.342146,0.242025,-0.006272,-0.015605
0.970382,1,0.342135,0.242022,-0.006272,-0.010028
0.980931,1,0.342108,0.242031,-0.006272,-0.009098
0.991479,1,0.342118,0.242083,-0.003483,-0.006309
1.002027,1,0.342149,0.242087,0.005813,-0.005379
1.012575,1,0.342179,0.242101,0.007672,-0.011887
1.023127,1,0.342180,0.242123,-0.005343,-0.007239
1.033679,1,0.342215,0.242120,0.000235,0.000198
1.044232,1,0.342181,0.242121,0.002094,-0.005379
1.054782,1,0.342115,0.242173,0.004883,-0.011887
1.065331,1,0.342114,0.242234,0.003024,-0.002591
1.075881,1,0.342132,0.242228,0.006742,-0.003520
1.086430,1,0.342130,0.242218,0.003954,-0.009098
1.096978,1,0.342135,0.242222,-0.004413,-0.004450
1.107538,1,0.342149,0.242260,0.003024,-0.004450
1.118095,1,0.342091,0.242312,-0.003483,0.000198
1.128611,1,0.342112,0.242310,0.008602,-0.010957
1.139153,1,0.342154,0.242380,-0.001624,-0.009098
1.149697,1,0.342198,0.242388,-0.003483,-0.004450
1.160246,1,0.342207,0.242386,-0.002554,-0.010028
1.170798,1,0.342175,0.242421,-0.001624,0.000198
